original_id,sha256,review_status,reference_class_id,reviewer,reviewer_kind,reviewed_at,evidence
n02102040_2122,3b3cd83fbcededf4bec242e6aa9fa518d9c1c011bcb38fd27a67d94bd03a925f,confirmed,n02102040,Codex visual inspection,assistant_visual,2026-09-07,Close dog profile with brown-white coat and feathered ears supports inherited class. Notes SHA-256: 7d747a7af82d6e03dcfb62bac5c1192da618d5dc5e7f8174c8d0bc24f255f9bb
n02979186_10670,1a80d5b655dd2238cdef94d8f9df58fd1f9acbfe387afe0a1c2f07c18ccc7539,confirmed,n02979186,Codex visual inspection,assistant_visual,2026-09-07,Portable stereo has a clearly visible cassette compartment. Notes SHA-256: 7d747a7af82d6e03dcfb62bac5c1192da618d5dc5e7f8174c8d0bc24f255f9bb
n02979186_10870,2bbdc6b5243aa700f9e4aab6ca1a0df5d9eed90e12bc99094cd8a57b2d0d4b91,uncertain,n02979186,Codex visual inspection,assistant_visual,2026-09-07,Small device-like enclosure contains a fish; cannot establish that a cassette playback device is depicted. Notes SHA-256: 7d747a7af82d6e03dcfb62bac5c1192da618d5dc5e7f8174c8d0bc24f255f9bb
n02979186_11,3492ed3e7e4b9a258a27a5d4111e6055fa3ab4a2300e4298f9dd6ffd2be84cee,confirmed,n02979186,Codex visual inspection,assistant_visual,2026-09-07,Cassette adapter includes an attached playback transport; inherited player class is visually plausible. Notes SHA-256: 7d747a7af82d6e03dcfb62bac5c1192da618d5dc5e7f8174c8d0bc24f255f9bb
n02979186_11481,8b897803a43107d71c3fe7d839cd460507345c2cd664d1ab1c0d18461133bc3d,confirmed,n02979186,Codex visual inspection,assistant_visual,2026-09-07,Portable cassette recorder/player with transport controls and lid is visible. Notes SHA-256: 7d747a7af82d6e03dcfb62bac5c1192da618d5dc5e7f8174c8d0bc24f255f9bb
n02979186_12122,4ce363b69cf4bab688871a6c2bcc623b840e3755ecc6c21f8346705af4962035,uncertain,n02979186,Codex visual inspection,assistant_visual,2026-09-07,Robot toy is dominant; whether it represents a functional or depicted cassette player is unresolved. Notes SHA-256: 7d747a7af82d6e03dcfb62bac5c1192da618d5dc5e7f8174c8d0bc24f255f9bb
n02979186_13510,2e8ccca0cf1e46ccc9d71aedf7e02154bafab02b47ce82f8d5d46c673e5a7af5,confirmed,n02979186,Codex visual inspection,assistant_visual,2026-09-07,Small but recognizable red portable stereo with cassette panel is visible beside person. Notes SHA-256: 7d747a7af82d6e03dcfb62bac5c1192da618d5dc5e7f8174c8d0bc24f255f9bb
n02979186_13740,aaa2a97746fd19f1961e1919039ab36d0be2acc3814f9b7c92b996a5c2c117b5,confirmed,n02979186,Codex visual inspection,assistant_visual,2026-09-07,Person holds a portable stereo with visible cassette transport. Notes SHA-256: 7d747a7af82d6e03dcfb62bac5c1192da618d5dc5e7f8174c8d0bc24f255f9bb
n02979186_13841,b043ad04b5dce19c0e3934d2d7fae817e20ab1641b0c2eb2229000b91e6cafe7,out_of_scope,n02979186,Codex visual inspection,assistant_visual,2026-09-07,"Image shows a cassette tape medium and reels, not a recognizable cassette playback device; no replacement supported class is established. Notes SHA-256: 7d747a7af82d6e03dcfb62bac5c1192da618d5dc5e7f8174c8d0bc24f255f9bb"
n02979186_14550,85a55c2cc2e943f6e4e1fd735380b12d8ca9d2f8dc9e9767660970f1c5bf9c4c,uncertain,n02979186,Codex visual inspection,assistant_visual,2026-09-07,Car dashboard stereo is visible but playback slot/type cannot be established at this resolution. Notes SHA-256: 7d747a7af82d6e03dcfb62bac5c1192da618d5dc5e7f8174c8d0bc24f255f9bb
n02979186_15862,f28017f65482ae4762c88aaf80dd7c06a65dc413e4ed77df84bcb97b695e8e64,confirmed,n02979186,Codex visual inspection,assistant_visual,2026-09-07,Portable stereo with speakers and cassette mechanism is clearly visible. Notes SHA-256: 7d747a7af82d6e03dcfb62bac5c1192da618d5dc5e7f8174c8d0bc24f255f9bb
n03000684_1011,abda4af8ccb9a4a93009b1dcd17747bb239b3f5566b815c65da1395de00d7a5c,confirmed,n03000684,Codex visual inspection,assistant_visual,2026-09-07,Person uses a saw with a long chain bar on a fallen tree. Notes SHA-256: 7d747a7af82d6e03dcfb62bac5c1192da618d5dc5e7f8174c8d0bc24f255f9bb
n03000684_11701,9567c0a1e807bfbaa4a90fe046b9a830072aa35a037e608fa625b2329407abe0,confirmed,n03000684,Codex visual inspection,assistant_visual,2026-09-07,Performer holds a recognizable chainsaw with motor housing and bar. Notes SHA-256: 7d747a7af82d6e03dcfb62bac5c1192da618d5dc5e7f8174c8d0bc24f255f9bb
n03000684_11821,39480f407d588d4bf0329e5da641035534b6a84f3d27a3d5efeea532d8c65ae4,confirmed,n03000684,Codex visual inspection,assistant_visual,2026-09-07,Clear pictorial depiction of a chainsaw with toothed bar and handles. Notes SHA-256: 7d747a7af82d6e03dcfb62bac5c1192da618d5dc5e7f8174c8d0bc24f255f9bb
n03000684_12051,97feb532099fb0a66ee5736a8f26c107d4e6d7d45ac5a2438c638065a98d98c0,uncertain,n03000684,Codex visual inspection,assistant_visual,2026-09-07,People dominate; small handheld object is insufficient to establish target identity and toy/real status. Notes SHA-256: 7d747a7af82d6e03dcfb62bac5c1192da618d5dc5e7f8174c8d0bc24f255f9bb
n03000684_12370,c910ee81a0ba5cf92d46275c4f7bc882096e754bc0f75b4a594055622048edda,confirmed,n03000684,Codex visual inspection,assistant_visual,2026-09-07,Person holds a chainsaw with a clear long toothed bar. Notes SHA-256: 7d747a7af82d6e03dcfb62bac5c1192da618d5dc5e7f8174c8d0bc24f255f9bb
n03000684_12570,cc62c2e1dad793cea7831ddb16a7f63ea526c22a111e2bad1aa6bd8e8d45b281,uncertain,n03000684,Codex visual inspection,assistant_visual,2026-09-07,"Packaged toy chainsaw; object-versus-toy inclusion policy is not formally settled, so withheld. Notes SHA-256: 7d747a7af82d6e03dcfb62bac5c1192da618d5dc5e7f8174c8d0bc24f255f9bb"
n03000684_13182,b7099f9872426a33a062007eccabd474541294aec3fe4b52037b4d57bfc3effd,confirmed,n03000684,Codex visual inspection,assistant_visual,2026-09-07,Person operates chainsaw while carving wood; motor housing and bar visible. Notes SHA-256: 7d747a7af82d6e03dcfb62bac5c1192da618d5dc5e7f8174c8d0bc24f255f9bb
n03000684_13920,95015ea44d5cd7f363f6d2fcfacbfa36379bbcd75698c36d1f05962f65c62bf4,uncertain,n03000684,Codex visual inspection,assistant_visual,2026-09-07,"Tree work and a truck are visible, but the chainsaw itself cannot be confidently located. Notes SHA-256: 7d747a7af82d6e03dcfb62bac5c1192da618d5dc5e7f8174c8d0bc24f255f9bb"
n03000684_14740,76a243abfd88bedb57abc1322e6bb269a4969a90a12473fde4e4dd2ec5a2b4db,confirmed,n03000684,Codex visual inspection,assistant_visual,2026-09-07,Chainsaw housing and bar are visible cutting a large log. Notes SHA-256: 7d747a7af82d6e03dcfb62bac5c1192da618d5dc5e7f8174c8d0bc24f255f9bb
n03000684_15441,0144a8ff344c17e09770f3fde2ce626b6eef1b32f9068d9075464fba41ada696,confirmed,n03000684,Codex visual inspection,assistant_visual,2026-09-07,Film-like depiction includes a recognizable chainsaw held overhead. Notes SHA-256: 7d747a7af82d6e03dcfb62bac5c1192da618d5dc5e7f8174c8d0bc24f255f9bb
n03028079_10141,7460946a898a0b450c6e467ca6f6cb4fe6afa101fae0930ba3d56f2425ca1299,confirmed,n03028079,Codex visual inspection,assistant_visual,2026-09-07,Small white building with red steeple is recognizable as a church. Similar venue to n03028079_15102; shared scene is not proof of same original. Notes SHA-256: 7d747a7af82d6e03dcfb62bac5c1192da618d5dc5e7f8174c8d0bc24f255f9bb
n03028079_10511,bf434b69775c680611aa78ca869e163599914960644ee11ae2e6a6f9750510b9,confirmed,n03028079,Codex visual inspection,assistant_visual,2026-09-07,Gothic church exterior and towers are clearly visible. Notes SHA-256: 7d747a7af82d6e03dcfb62bac5c1192da618d5dc5e7f8174c8d0bc24f255f9bb
n03028079_122592,3368e47caee8ff0fad674e65d535804dda4dacfb6297da96a482f38f98eba024,uncertain,n03028079,Codex visual inspection,assistant_visual,2026-09-07,Distant ruined building is visible; religious function cannot be established confidently from image alone. Notes SHA-256: 7d747a7af82d6e03dcfb62bac5c1192da618d5dc5e7f8174c8d0bc24f255f9bb
n03028079_13530,be8761e1a978e21c0ab8f8e1d4aa6b851becc5e9a1ed4c61fc32f3a9d5c09b1c,confirmed,n03028079,Codex visual inspection,assistant_visual,2026-09-07,"Church facade, towers and cross-like architectural details are visible. Notes SHA-256: 7d747a7af82d6e03dcfb62bac5c1192da618d5dc5e7f8174c8d0bc24f255f9bb"
n03028079_15102,51dcb669d72722170443fea08b1072ad732ce5e4595617d02585ffb6743d1c7d,confirmed,n03028079,Codex visual inspection,assistant_visual,2026-09-07,"White church with red steeple and cross is clear. Similar venue to n03028079_10141, requiring future scene-level audit. Notes SHA-256: 7d747a7af82d6e03dcfb62bac5c1192da618d5dc5e7f8174c8d0bc24f255f9bb"
n03028079_15602,216e0167f0f9ef21ea07c13006e7992101de96c53545c7c9d3049f3571ccf50b,uncertain,n03028079,Codex visual inspection,assistant_visual,2026-09-07,"Indoor candle shrine may belong to a church, but image alone does not establish the building category. Notes SHA-256: 7d747a7af82d6e03dcfb62bac5c1192da618d5dc5e7f8174c8d0bc24f255f9bb"
n03028079_16080,62d2606880b900b5e6226dd3ff1f77f7ade77c57aadc867f487d936af1ed40a2,confirmed,n03028079,Codex visual inspection,assistant_visual,2026-09-07,Gothic church facade and arched window are clearly visible. Notes SHA-256: 7d747a7af82d6e03dcfb62bac5c1192da618d5dc5e7f8174c8d0bc24f255f9bb
n03028079_16501,cce2393604d44f4402937bba03f43abfc3aad8ffb90a0706bb1b992d9cb14155,confirmed,n03028079,Codex visual inspection,assistant_visual,2026-09-07,"Church interior with organ, pews and decorated religious architecture is visible. Notes SHA-256: 7d747a7af82d6e03dcfb62bac5c1192da618d5dc5e7f8174c8d0bc24f255f9bb"
n03394916_10501,01a6cb55bd501b0ded831b8d9bca64c53b93290fe126829bf2589e768a15a080,confirmed,n03394916,Codex visual inspection,assistant_visual,2026-09-07,Coiled brass French horn and bell are isolated and clearly visible. Notes SHA-256: 7d747a7af82d6e03dcfb62bac5c1192da618d5dc5e7f8174c8d0bc24f255f9bb
n03394916_1130,5fd5f74b2c8ff6c0b903d11a80526702158797e3bb691bd72943bde074e4d7e3,confirmed,n03394916,Codex visual inspection,assistant_visual,2026-09-07,Foreground performer holds recognizable coiled French horn; other instruments do not remove target visibility. Notes SHA-256: 7d747a7af82d6e03dcfb62bac5c1192da618d5dc5e7f8174c8d0bc24f255f9bb
n03394916_11582,0e4861f3e8803e886789864e8e6bd0a36940e3dcc47ada94b2bd70bc5bcb5758,confirmed,n03394916,Codex visual inspection,assistant_visual,2026-09-07,French horn with coiled tubing and valves is visible on floor. Notes SHA-256: 7d747a7af82d6e03dcfb62bac5c1192da618d5dc5e7f8174c8d0bc24f255f9bb
n03394916_17780,c4265229444486d01ca0b6398377205628b5049e78ed49cdeb7ed36ea1c3acff,confirmed,n03394916,Codex visual inspection,assistant_visual,2026-09-07,Product image clearly shows coiled French horn. Notes SHA-256: 7d747a7af82d6e03dcfb62bac5c1192da618d5dc5e7f8174c8d0bc24f255f9bb
n03394916_28561,b4382fc25bcfdbe4ddbe46b2a8bc72dc2ffb0ede56cf820521c835da13b2b9b5,confirmed,n03394916,Codex visual inspection,assistant_visual,2026-09-07,Person holds a recognizable French horn in foreground. Notes SHA-256: 7d747a7af82d6e03dcfb62bac5c1192da618d5dc5e7f8174c8d0bc24f255f9bb
n03394916_28830,14a67311b9c6db76b0e770b4a91d074bc225fd37bc8c7a957ab9eb11b5074358,confirmed,n03394916,Codex visual inspection,assistant_visual,2026-09-07,Performer holds a coiled horn; instrument remains recognizable despite small subject. Notes SHA-256: 7d747a7af82d6e03dcfb62bac5c1192da618d5dc5e7f8174c8d0bc24f255f9bb
n03394916_29311,b48c6dc7c67c818b984eddb6c89c4a30f1870f75df5aae4fb8be716a2d617ae5,confirmed,n03394916,Codex visual inspection,assistant_visual,2026-09-07,Close-up shows coiled horn tubing and rotary-valve assembly consistent with inherited French horn. Notes SHA-256: 7d747a7af82d6e03dcfb62bac5c1192da618d5dc5e7f8174c8d0bc24f255f9bb
n03394916_29541,57e165cea7aece92242b3b3403f9b9f17df940ef4c8d8e3644235cbe653a8582,uncertain,n03394916,Codex visual inspection,assistant_visual,2026-09-07,Distant brass instrument is partly hidden by player; cannot confidently distinguish French horn. Notes SHA-256: 7d747a7af82d6e03dcfb62bac5c1192da618d5dc5e7f8174c8d0bc24f255f9bb
n03417042_10150,d314100725956b8854044d3bba6ab52d6b72749090e6b28e095598d096b2b0c6,uncertain,n03417042,Codex visual inspection,assistant_visual,2026-09-07,Green bulk-hauling truck resembles a tipper; garbage-specific body/function is not clear. Notes SHA-256: 7d747a7af82d6e03dcfb62bac5c1192da618d5dc5e7f8174c8d0bc24f255f9bb
n03417042_10462,a9e0976c46c072c9d79eb25c52989e6e25854661acf926c8ac1b9d410f25a3a1,confirmed,n03417042,Codex visual inspection,assistant_visual,2026-09-07,Refuse truck with rear compactor body is clearly visible. Notes SHA-256: 7d747a7af82d6e03dcfb62bac5c1192da618d5dc5e7f8174c8d0bc24f255f9bb
n03417042_1051,1540a3da702906989f0a33e96dd805d65617b85f4e70f5a7efe6aa289dc4e91d,confirmed,n03417042,Codex visual inspection,assistant_visual,2026-09-07,Municipal rear-loading refuse truck body is clearly visible. Notes SHA-256: 7d747a7af82d6e03dcfb62bac5c1192da618d5dc5e7f8174c8d0bc24f255f9bb
n03417042_12560,d72d4ed024e7bd55cfbe955a1aabda55967af8ec4667e41076e965a6d5155aab,confirmed,n03417042,Codex visual inspection,assistant_visual,2026-09-07,Blue enclosed sanitation truck with rear refuse-loading structure is visible. Notes SHA-256: 7d747a7af82d6e03dcfb62bac5c1192da618d5dc5e7f8174c8d0bc24f255f9bb
n03417042_1262,2dbd68c448a2e040baba969d7e2deef47e11388ad0d29b69e18e2a0c76d9fcc8,confirmed,n03417042,Codex visual inspection,assistant_visual,2026-09-07,Truck loaded with refuse in active garbage collection scene is visible. Notes SHA-256: 7d747a7af82d6e03dcfb62bac5c1192da618d5dc5e7f8174c8d0bc24f255f9bb
n03417042_1271,5dc269b74a2ba2bd4a0a59bb71fc2017195b826a1e251856698e1b9001fae251,uncertain,n03417042,Codex visual inspection,assistant_visual,2026-09-07,Close-up of hydraulic metal equipment lacks enough vehicle context to establish garbage truck. Notes SHA-256: 7d747a7af82d6e03dcfb62bac5c1192da618d5dc5e7f8174c8d0bc24f255f9bb
n03425413_10621,8a5e1524e7c83281bddcf9cd65e04b5bf99fc688263543627c918cc1ee95aff2,confirmed,n03425413,Codex visual inspection,assistant_visual,2026-09-07,Vintage fuel dispenser with price/display panel is clearly visible. Notes SHA-256: 7d747a7af82d6e03dcfb62bac5c1192da618d5dc5e7f8174c8d0bc24f255f9bb
n03425413_11061,b51b0ede1aca75f3bf0963ef42035e6839db08a79d118df27027b853e639925e,confirmed,n03425413,Codex visual inspection,assistant_visual,2026-09-07,"Fuel-grade label, displays and hose/nozzle identify gas dispensers. Notes SHA-256: 7d747a7af82d6e03dcfb62bac5c1192da618d5dc5e7f8174c8d0bc24f255f9bb"
n03425413_12712,37471256216b72c19f2f49d4c99cfe003a0fa1bb58e158ce3e8335f31230a1f9,uncertain,n03425413,Codex visual inspection,assistant_visual,2026-09-07,Exposed internal machinery could be a stripped dispenser but class cannot be confirmed visually. Notes SHA-256: 7d747a7af82d6e03dcfb62bac5c1192da618d5dc5e7f8174c8d0bc24f255f9bb
n03425413_12722,0b5c6126214f2ad97cbd4d429a313a1b804629a0430468477a278683b926a61c,confirmed,n03425413,Codex visual inspection,assistant_visual,2026-09-07,Vintage fuel dispenser with hose and display is visible. Notes SHA-256: 7d747a7af82d6e03dcfb62bac5c1192da618d5dc5e7f8174c8d0bc24f255f9bb
n03425413_13060,bcc51a5f4c4c651005a1443d891e88636f29997110ea826f8fcd85a6522bc3a3,confirmed,n03425413,Codex visual inspection,assistant_visual,2026-09-07,Dockside dispenser has visible housing and long fuel hose; inherited gas-pump class is plausible. Notes SHA-256: 7d747a7af82d6e03dcfb62bac5c1192da618d5dc5e7f8174c8d0bc24f255f9bb
n03425413_13231,3cf8540bd43c3ce3902e5e41475c32222eaf4aa9e317ece36637afe8fdbf7905,confirmed,n03425413,Codex visual inspection,assistant_visual,2026-09-07,"Pair of old fuel dispensers is visible beside building, including pump heads and hoses. Notes SHA-256: 7d747a7af82d6e03dcfb62bac5c1192da618d5dc5e7f8174c8d0bc24f255f9bb"
n03425413_13620,1cd9690335b4c10ee37bd5d0652630b9fd912603c5f270f400a0a63e366ceb6c,uncertain,n03425413,Codex visual inspection,assistant_visual,2026-09-07,Person occludes most of old red equipment; sufficient dispenser detail is not visible. Notes SHA-256: 7d747a7af82d6e03dcfb62bac5c1192da618d5dc5e7f8174c8d0bc24f255f9bb
n03425413_13770,2c227cb99aac655ad405bd36fc7c856baf613cfccae1b256cd35e2f6a1823cfb,confirmed,n03425413,Codex visual inspection,assistant_visual,2026-09-07,Clearly labeled fuel dispensers with numbered pumps and hoses are visible behind person. Notes SHA-256: 7d747a7af82d6e03dcfb62bac5c1192da618d5dc5e7f8174c8d0bc24f255f9bb
n03425413_13821,52d8312b7925010bb8b15595ff5d594616acc7dde78b678d1711eee4c8560774,confirmed,n03425413,Codex visual inspection,assistant_visual,2026-09-07,Fuel dispenser display explicitly shows sale and gallons; housing is visible. Notes SHA-256: 7d747a7af82d6e03dcfb62bac5c1192da618d5dc5e7f8174c8d0bc24f255f9bb
n03425413_13831,0838b7030a3900c6077721ad5b7682ab1253322899d15dc08145eab80a019307,confirmed,n03425413,Codex visual inspection,assistant_visual,2026-09-07,"Modern gas dispenser with hoses, grades and payment panel is visible. Notes SHA-256: 7d747a7af82d6e03dcfb62bac5c1192da618d5dc5e7f8174c8d0bc24f255f9bb"
n03425413_13922,5badf8b0d7e147f8c74907eef51857eb25e01945fe4e0fe5c7daa1b8d57c9709,confirmed,n03425413,Codex visual inspection,assistant_visual,2026-09-07,Vintage tall fuel pump with branded round top and hose is visible. Notes SHA-256: 7d747a7af82d6e03dcfb62bac5c1192da618d5dc5e7f8174c8d0bc24f255f9bb
n03445777_10581,bd30fcfb4db672e27f6d12bf7a63ab186d687424361d11c360ee33f557284c97,uncertain,n03445777,Codex visual inspection,assistant_visual,2026-09-07,White spheres on decorative wreath lack enough visible dimple detail to establish golf balls. Notes SHA-256: 7d747a7af82d6e03dcfb62bac5c1192da618d5dc5e7f8174c8d0bc24f255f9bb
n03445777_10760,8a1565c84eaa0513cd32529bc5f93bac2a8d283c9d76bae5eb49f3f2923e7b47,confirmed,n03445777,Codex visual inspection,assistant_visual,2026-09-07,White balls with visible golf-ball dimples are clearly present. Notes SHA-256: 7d747a7af82d6e03dcfb62bac5c1192da618d5dc5e7f8174c8d0bc24f255f9bb
n03445777_11122,b1ba57148527ae62f8a647ebe3540aac49591205dfb7b0fc1fcba73784a5de4b,confirmed,n03445777,Codex visual inspection,assistant_visual,2026-09-07,Packaged golf balls with dimples and printed logos are visible. Notes SHA-256: 7d747a7af82d6e03dcfb62bac5c1192da618d5dc5e7f8174c8d0bc24f255f9bb
n03445777_12490,73ba0ef3ff3c7910153da88928a0f88c1c4dd98fe0f13b8a8b0cac74d8a57a6d,confirmed,n03445777,Codex visual inspection,assistant_visual,2026-09-07,Single dimpled golf ball is prominent on grass. Notes SHA-256: 7d747a7af82d6e03dcfb62bac5c1192da618d5dc5e7f8174c8d0bc24f255f9bb
n03445777_15152,594f093b3d5551ca976945f354ab59108ee093f0c32dcf816ff3be59c8d44ccd,uncertain,n03445777,Codex visual inspection,assistant_visual,2026-09-07,Golf-themed cake depicts a large ball; actual golf ball versus decorative replica boundary is unresolved. Notes SHA-256: 7d747a7af82d6e03dcfb62bac5c1192da618d5dc5e7f8174c8d0bc24f255f9bb
n03445777_15880,90338f784e794c3664dda7544a8770a7ec2c25d15ed35ed004a803ac40b73b06,confirmed,n03445777,Codex visual inspection,assistant_visual,2026-09-07,Group of branded dimpled golf balls is clearly visible. Notes SHA-256: 7d747a7af82d6e03dcfb62bac5c1192da618d5dc5e7f8174c8d0bc24f255f9bb
n03445777_16150,2eae6a553cb8076cb395fc8c2c35f59c99bd3889f192fec1d075b8a4156cbecf,uncertain,n03445777,Codex visual inspection,assistant_visual,2026-09-07,Helicopter above lawn dominates; no individually identifiable golf ball is visible. Notes SHA-256: 7d747a7af82d6e03dcfb62bac5c1192da618d5dc5e7f8174c8d0bc24f255f9bb
n03888257_10380,a592f41e4ac271119c46f68c40e113aeaac479e2421142a76a1239dce2fb0a1d,confirmed,n03888257,Codex visual inspection,assistant_visual,2026-09-07,"Inflated ram-air canopy is clearly visible, consistent with inherited parachute class. Notes SHA-256: 7d747a7af82d6e03dcfb62bac5c1192da618d5dc5e7f8174c8d0bc24f255f9bb"
n03888257_11931,16fc4fc905c965f73032002dfcf5c352cf249b357cf9b4d026a377559fc57e14,uncertain,n03888257,Codex visual inspection,assistant_visual,2026-09-07,People hold folded blue fabric; canopy identity cannot be established from folded state. Notes SHA-256: 7d747a7af82d6e03dcfb62bac5c1192da618d5dc5e7f8174c8d0bc24f255f9bb
n03888257_12212,cc38825d04c73efbf0a11c72b1468803894f7d2e6e6b67b2d65dd5d674815bd0,uncertain,n03888257,Codex visual inspection,assistant_visual,2026-09-07,People under fabric shelter; no identifiable parachute canopy or suspension system. Notes SHA-256: 7d747a7af82d6e03dcfb62bac5c1192da618d5dc5e7f8174c8d0bc24f255f9bb
n03888257_12501,173826c79c99139ff30eb3688b8d244484c04c80ab7b86ec5021f8bf5c0976ab,uncertain,n03888257,Codex visual inspection,assistant_visual,2026-09-07,"Harness and people are visible, but parachute itself is outside view. Notes SHA-256: 7d747a7af82d6e03dcfb62bac5c1192da618d5dc5e7f8174c8d0bc24f255f9bb"
n03888257_12560,2f8de4b393dc11b3ce6bc4698863c5b7bac5fba7cfec8c6541d4fedb40e46fad,uncertain,n03888257,Codex visual inspection,assistant_visual,2026-09-07,Recreational group canopy is visible; equivalence to intended parachute category requires a settled scope rule. Notes SHA-256: 7d747a7af82d6e03dcfb62bac5c1192da618d5dc5e7f8174c8d0bc24f255f9bb
n03888257_1430,33816c42aaf811949bfce99ea5b3d54ada3db855a7c4155c645ad6ea630cb9eb,confirmed,n03888257,Codex visual inspection,assistant_visual,2026-09-07,Person descends under deployed rectangular canopy with suspension lines. Notes SHA-256: 7d747a7af82d6e03dcfb62bac5c1192da618d5dc5e7f8174c8d0bc24f255f9bb
n03888257_15491,b70a6162b6b1c4c6e789c95b27e90422446f4e035ff768ad7452a97f748963a0,confirmed,n03888257,Codex visual inspection,assistant_visual,2026-09-07,Deployed ram-air canopy and suspended person are visible. Notes SHA-256: 7d747a7af82d6e03dcfb62bac5c1192da618d5dc5e7f8174c8d0bc24f255f9bb
n03888257_18031,4a88888c029621af8a1448b06b3da4e24da2f50e1d724f62130bec32d4d5a529,uncertain,n03888257,Codex visual inspection,assistant_visual,2026-09-07,People and lines on a beach are visible; target canopy is not visible enough to confirm class. Notes SHA-256: 7d747a7af82d6e03dcfb62bac5c1192da618d5dc5e7f8174c8d0bc24f255f9bb
